year_film,year_ceremony,ceremony,category,role,canon_category,name,film,winner
1927,1928,1,ACTOR,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Noose,FALSE
1927,1928,1,ACTOR,ACTOR,ACTOR IN A LEADING ROLE,Richard Barthelmess,The Patent Leather Kid,FALSE
1927,1928,1,ACTOR,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Last Command,TRUE
1927,1928,1,ACTOR,ACTOR,ACTOR IN A LEADING ROLE,Emil Jannings,The Way of All Flesh,TRUE
1927,1928,1,ACTRESS,ACTRESS,ACTRESS IN A LEADING ROLE,Louise Dresser,A Ship Comes In,FALSE
1927,1928,1,ACTRESS,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,7th Heaven,TRUE
1927,1928,1,ACTRESS,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Street Angel,TRUE
1927,1928,1,ACTRESS,ACTRESS,ACTRESS IN A LEADING ROLE,Janet Gaynor,Sunrise,TRUE
1927,1928,1,ACTRESS,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,Sadie Thompson,FALSE
1927,1928,1,ART DIRECTION,ART DIRECTION,ART DIRECTION,Rochus Gliese,Sunrise,FALSE
1927,1928,1,ART DIRECTION,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Dove,TRUE
1927,1928,1,ART DIRECTION,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Tempest,TRUE
1927,1928,1,ART DIRECTION,ART DIRECTION,ART DIRECTION,Harry Oliver,7th Heaven,FALSE
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Devil Dancer,FALSE
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,The Magic Flame,FALSE
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Sadie Thompson,FALSE
1927,1928,1,CINEMATOGRAPHY,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Rosher/Karl Struss,Sunrise,TRUE
1927,1928,1,DIRECTING (Comedy Picture),DIRECTOR (Comedy Picture),DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE
1927,1928,1,DIRECTING (Comedy Picture),DIRECTOR (Comedy Picture),DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTOR (Dramatic Picture),DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTOR (Dramatic Picture),DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),DIRECTOR (Dramatic Picture),DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE
1927,1928,1,ENGINEERING EFFECTS,ENGINEERING EFFECTS,VISUAL EFFECTS,Ralph Hammeras,,FALSE
1927,1928,1,ENGINEERING EFFECTS,ENGINEERING EFFECTS,VISUAL EFFECTS,Roy Pomeroy,Wings,TRUE
1927,1928,1,ENGINEERING EFFECTS,ENGINEERING EFFECTS,VISUAL EFFECTS,Nugent Slaughter,,FALSE
1927,1928,1,OUTSTANDING PICTURE,OUTSTANDING PICTURE,BEST PICTURE,The Caddo Company,The Racket,FALSE
1927,1928,1,OUTSTANDING PICTURE,OUTSTANDING PICTURE,BEST PICTURE,Fox,7th Heaven,FALSE
1927,1928,1,OUTSTANDING PICTURE,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,Wings,TRUE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE
